"","id","Wikipedia_Link","Name","Country","Born","Dead","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"145",145,"https://en.wikipedia.org/wiki/Lor%C3%A1nd_E%C3%B6tv%C3%B6s","Loránd Eötvös ","Austria",1848,1919,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"146",146,"https://en.wikipedia.org/wiki/Friedrich_Ernst_Dorn","Friedrich Ernst Dorn ","Germany",1848,1916,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"147",147,"https://en.wikipedia.org/wiki/Franz_S._Exner","Franz S. Exner ","Austria",1849,1926,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"148",148,"https://en.wikipedia.org/wiki/John_Hopkinson","John Hopkinson ","United Kingdom",1849,1898,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"149",149,"https://en.wikipedia.org/wiki/Oliver_Heaviside","Oliver Heaviside ","United Kingdom",1850,1925,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"150",150,"https://en.wikipedia.org/wiki/Woldemar_Voigt","Woldemar Voigt ","Germany",1850,1919,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"151",151,"https://en.wikipedia.org/wiki/Karl_Ferdinand_Braun","Karl Ferdinand Braun ","Germany",1850,1918,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"152",152,"https://en.wikipedia.org/wiki/Oliver_Lodge","Oliver Lodge ","United Kingdom",1851,1940,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"153",153,"https://en.wikipedia.org/wiki/George_Francis_FitzGerald","George Francis FitzGerald ","Ireland",1851,1901,"Ireland",52.865196,-7.9794599,51.222,55.636,-11.0133788,-5.6582363
"154",154,"https://en.wikipedia.org/wiki/Albert_Abraham_Michelson","Albert Abraham Michelson ","United States",1852,1931,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"155",155,"https://en.wikipedia.org/wiki/Edward_Bouchet","Edward Bouchet ","United States",1852,1918,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"156",156,"https://en.wikipedia.org/wiki/John_Henry_Poynting","John Henry Poynting ","United Kingdom",1852,1914,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"157",157,"https://en.wikipedia.org/wiki/Henri_Becquerel","Henri Becquerel ","France",1852,1908,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"158",158,"https://en.wikipedia.org/wiki/Heinrich_Kayser","Heinrich Kayser ","Germany",1853,1940,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"159",159,"https://en.wikipedia.org/wiki/Hendrik_Lorentz","Hendrik Lorentz ","Netherlands",1853,1928,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"160",160,"https://en.wikipedia.org/wiki/Heike_Kamerlingh_Onnes","Heike Kamerlingh Onnes ","Netherlands",1853,1926,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"161",161,"https://en.wikipedia.org/wiki/Ludwig_Zehnder","Ludwig Zehnder ","Switzerland",1854,1949,"Switzerland",46.7985624,8.2319736,45.817995,47.8084648,5.9559113,10.4922941
"162",162,"https://en.wikipedia.org/wiki/Marcel_Brillouin","Marcel Brillouin ","France",1854,1948,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"163",163,"https://en.wikipedia.org/wiki/Johannes_Rydberg","Janne Rydberg ","Sweden",1854,1919,"Sweden",59.6749712,14.5208584,55.1331192,69.0599699,10.5930952,24.1776819
"164",164,"https://en.wikipedia.org/wiki/Henri_Poincar%C3%A9","Henri Poincaré, mathematician","France",1854,1912,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"165",165,"https://en.wikipedia.org/wiki/Edwin_Hall","Edwin Hall ","United States",1855,1938,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"166",166,"https://en.wikipedia.org/wiki/James_Alfred_Ewing","James Alfred Ewing ","United Kingdom",1855,1935,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"167",167,"https://en.wikipedia.org/wiki/Leo_Graetz","Leo Graetz ","Germany",1856,1941,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"168",168,"https://en.wikipedia.org/wiki/J._J._Thomson","J. J. Thomson ","United Kingdom",1856,1940,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"169",169,"https://en.wikipedia.org/wiki/Joseph_Larmor","Joseph Larmor ","United Kingdom",1857,1942,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"170",170,"https://en.wikipedia.org/wiki/Aleksandr_Mikhailovich_Lyapunov","Aleksandr Mikhailovich Lyapunov ","Russia",1857,1918,"Russia",64.6863136,97.7453061,41.1850968,82.0586232,-180,180
"171",171,"https://en.wikipedia.org/wiki/Heinrich_Rudolf_Hertz","Heinrich Rudolf Hertz ","Germany",1857,1894,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"172",172,"https://en.wikipedia.org/wiki/Max_Planck","Max Planck ","Germany",1858,1947,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
